id,saleprice
2658,158722.69330065418
2718,218847.5790575808
2414,195575.87584970077
1989,123583.99935897696
625,186430.85646337247
333,93726.68623623066
1327,112518.04528216994
858,146740.2465780459
95,203672.29171602172
1568,166194.10661810334
2482,171148.41961112968
1364,131161.84000803297
2584,167806.8139086943
818,291217.09499295545
2673,172123.34732611105
2089,108460.59230273543
1297,170914.3953292172
790,117671.92275359016
2616,197868.8280249182
720,192954.86837559636
222,138272.7992940296
557,120682.57144905184
1148,212615.6437134866
2766,146436.02468906785
534,195360.51589601045
1452,108995.80272189016
630,146557.39926360617
2648,166683.28059298522
125,136779.21807652875
1904,29088.86829162552
1670,110249.09910478885
756,103157.55750466906
717,257317.50799306226
1032,156627.9271663318
852,225606.3101738554
1731,183351.87343257805
2639,136986.94531910866
2071,55480.36794480716
1267,92094.54268584424
1851,202132.76463148976
567,161872.9337645683
2439,219038.45763895055
1898,155521.75755293993
647,148141.79674872733
2256,217988.00161076593
979,109956.44181774091
1444,220770.49096771143
2485,106949.3020988463
157,122816.37474767258
88,121910.10019324138
2003,106043.39956994657
186,196692.33384615695
1425,265396.4612175538
2695,128069.01261699805
738,97364.84109740285
395,149736.56752674002
1353,164355.11754884943
1878,152935.2324297554
390,177779.66931260447
1456,236357.6121294992
1103,294223.8985207791
1387,122602.88576983381
2070,148955.20483040833
1199,184190.13744829176
2479,174658.02630730998
501,294474.36492037214
2362,77397.70779564907
1718,204291.82728994172
2188,53073.230509781046
1483,154590.83977829525
2557,72030.52643700014
437,345322.9337884642
2224,193931.8079316148
1628,174442.54431720567
397,126544.91903251992
587,214329.1694105009
2182,536689.4953536526
971,127246.45024601207
2611,147043.99574443977
1887,62857.62953518168
2399,338776.46688394365
2148,223077.79038576386
304,128658.21389515209
1997,140176.13771005417
2817,125454.24740885105
1431,181482.8821175443
427,372070.1965977261
263,115813.0339039939
598,180513.3008080814
2895,240941.64490238158
687,162904.4315307394
1822,122298.24471054785
2191,102860.23645885871
179,139233.69588088896
1009,210874.69192125532
2010,119348.53922999068
1991,152871.52373658773
1411,161490.74058756046
1721,249527.41340280953
1144,190894.66172976186
593,212932.2935775849
575,303417.97744229576
1249,188691.88889399404
1604,114187.45656165737
1064,406742.6322915973
1923,157129.1129343179
1988,87182.38474526536
2325,177879.76676161098
114,215241.3464488266
2700,212322.27622451726
217,153495.80379400495
343,191357.67755285697
386,243142.9924465688
2005,97903.19487696514
2908,133029.61171203922
1814,216551.01220371225
2446,390821.64242322533
208,151814.14169856696
1679,124787.88786354358
822,334396.1820527136
6,193748.10750592896
1781,379565.37941501965
2397,305965.96853403235
2340,276086.1909498472
1618,170099.43150232756
2843,144849.85275300196
1061,361026.20217323373
2786,108660.34592346428
1935,121706.67167759594
1341,128683.10346287023
521,276726.1101506136
2136,134777.88954683673
996,196828.95501082065
227,144792.95287109632
135,161509.3596275109
1167,170394.77203141316
294,225576.10491984477
1776,206232.28005529568
540,183404.00762170553
1717,204291.82728994172
2303,115499.14427581453
116,191900.88360491954
127,123907.62210831395
1371,134625.8114785226
1014,185474.85419003316
1507,64232.89484888408
702,156374.04079080187
750,163166.07034508907
261,149607.2892215245
1559,61450.77168502589
577,223328.22094202717
2812,205192.41423845477
2080,152062.93942706916
1368,118061.04893315327
2376,111236.87968204077
659,98236.51556015434
1235,115653.78509926656
332,77593.01763844304
1917,133049.92666212097
2094,251940.67502662982
1460,275848.9951273799
1471,209134.82989260415
1509,118351.86152675864
1922,126337.903544161
433,420151.0281482178
460,299473.8843868722
1116,256530.35499634175
1137,170407.67688601534
53,185382.80863499385
2354,254967.61622464354
1475,204916.50942627643
1761,490896.5051128818
842,139462.46292658336
2739,186454.25533113745
2509,169944.2463114867
1007,209674.47342941188
2610,184034.4700480434
1952,113453.58210317022
2719,211099.01954204869
2921,92786.16623794218
1966,134877.40402643755
292,128611.05327686877
1204,204827.50154690165
1829,238113.87778413435
2419,188345.05112972413
391,173782.30593590206
798,114385.12705909577
481,199422.69715203694
193,214160.56459844974
555,115709.88293273118
899,45303.60461824003
2357,196537.69587828638
328,121369.2617204918
1356,118250.98443128029
1154,105461.14868601575
1730,187894.11849955423
2249,148912.11191458884
1119,259218.54037348297
2856,133813.75379863265
1394,134525.53701008647
2587,114838.03202350391
61,309704.5697319326
2661,205702.41530335532
2711,121926.12404802465
1147,183479.52780614304
757,134513.78001575498
2623,56606.39673067292
2378,171986.43382077361
1413,135706.4903894437
1722,228451.6974300684
1112,225228.30818555877
1623,199559.85537615
1201,191774.5120931659
1513,114015.03370352299
957,254561.33275391255
1171,294030.9780578336
1145,199439.90437827772
2726,234709.1972266091
703,160503.10893072933
760,68177.18330157013
1964,129073.32567572128
2512,179539.28542495007
159,150593.91810444114
1281,176311.0481892624
468,187928.78367736912
290,123527.12688272516
665,102417.30072666821
1463,272357.0844955058
1792,222640.3246497335
923,134100.98001313303
500,268478.4745859017
1408,162256.7461893761
331,63683.73657192709
170,126859.90839373879
2192,87396.55924722855
2571,299512.17530506663
2314,177992.78450494446
2647,86374.53748751292
422,383611.6770918709
2457,368783.8817651321
1838,218040.17719527497
2805,253524.9823303169
1645,170539.13810039777
1711,322688.1561436923
2825,262750.77244024165
322,356076.7519905863
2103,268280.109666714
342,118024.31123359734
600,98417.58772579045
488,206269.5964548844
1725,335694.82385043125
2246,250423.10419702437
2847,168379.72220749827
806,241763.97491325857
530,241964.02292833594
963,195976.32960886508
2678,75210.95739650168
171,79381.35428980575
2401,384379.23887605406
805,220648.5734912958
2259,202984.98622468463
1748,181320.72886668774
1361,138550.07994500408
1677,128360.6539769026
1406,152797.44896391546
2322,231208.05002834927
688,165035.9680209579
143,137899.97215850023
804,199627.12211897923
1214,163251.63122822205
2828,153357.3366856405
1999,215800.86074040714
2467,198565.20418519247
2665,157310.8736848696
1538,305959.2796576319
398,105467.51944172801
2822,136988.5169234248
2157,146913.6791246822
1856,179160.4598937747
1269,69508.2112443468
2570,112385.09353407403
2320,248963.5672025364
1517,131337.8324464669
2304,112970.27876161993
1312,92547.47697340371
2012,138715.60485342657
506,221439.1276549166
2865,197679.3216564271
2367,111256.52409252292
554,96973.10861422587
238,134714.29915081593
1954,101834.2139115925
2488,130489.636643779
2291,95607.72623280715
1969,68588.03661669162
2725,167579.62238303968
1482,154590.83977829525
2763,199320.13224695204
503,240063.42460951163
1584,234962.8635253897
1531,162133.18392543006
2210,175903.37686586333
459,341574.45804919093
556,126490.6482153954
1347,160139.44522707583
1290,73093.39578772197
1388,96129.64429939538
1571,195831.4483369668
2754,217473.67547739157
765,134507.71581459
